"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"NettoWoonlasten_3";"BijkomendeWoonlasten_4";"Woonquote_5"
"281938";"A047048";"ZW10290";"GM1959";"2021JJ00";"";"";"";"       ."
"281939";"A047048";"ZW10290";"GM1959";"2022JJ00";"";"";"";"       ."
"281940";"A047048";"ZW10290";"GM0060";"2018JJ00";"     760";"     545";"     215";"    33.0"
"281941";"A047048";"ZW10290";"GM0060";"2019JJ00";"     785";"     561";"     224";"    33.4"
"281942";"A047048";"ZW10290";"GM0060";"2020JJ00";"     801";"     596";"     205";"    33.3"
"281943";"A047048";"ZW10290";"GM0060";"2021JJ00";"     827";"     606";"     221";"    33.6"
"281944";"A047048";"ZW10290";"GM0060";"2022JJ00";"     803";"     621";"     182";"    29.9"
"281945";"A047048";"ZW10290";"GM0307";"2018JJ00";"";"";"";"       ."
"281946";"A047048";"ZW10290";"GM0307";"2019JJ00";"";"";"";"       ."
"281947";"A047048";"ZW10290";"GM0307";"2020JJ00";"";"";"";"       ."
"281948";"A047048";"ZW10290";"GM0307";"2021JJ00";"    1173";"     974";"     199";"    34.9"
"281949";"A047048";"ZW10290";"GM0307";"2022JJ00";"";"";"";"       ."
"281950";"A047048";"ZW10290";"GM0362";"2018JJ00";"";"";"";"       ."
"281951";"A047048";"ZW10290";"GM0362";"2019JJ00";"";"";"";"       ."
"281952";"A047048";"ZW10290";"GM0362";"2020JJ00";"";"";"";"       ."
"281953";"A047048";"ZW10290";"GM0362";"2021JJ00";"";"";"";"       ."
"281954";"A047048";"ZW10290";"GM0362";"2022JJ00";"";"";"";"       ."
"281955";"A047048";"ZW10290";"GM0363";"2018JJ00";"";"";"";"       ."
"281956";"A047048";"ZW10290";"GM0363";"2019JJ00";"";"";"";"       ."
"281957";"A047048";"ZW10290";"GM0363";"2020JJ00";"";"";"";"       ."
"281958";"A047048";"ZW10290";"GM0363";"2021JJ00";"    1332";"    1111";"     221";"    38.4"
"281959";"A047048";"ZW10290";"GM0363";"2022JJ00";"";"";"";"       ."
"281960";"A047048";"ZW10290";"GM0200";"2018JJ00";"     955";"     732";"     222";"    36.9"
"281961";"A047048";"ZW10290";"GM0200";"2019JJ00";"     984";"     750";"     233";"    36.7"
"281962";"A047048";"ZW10290";"GM0200";"2020JJ00";"";"";"";"       ."
"281963";"A047048";"ZW10290";"GM0200";"2021JJ00";"    1046";"     811";"     235";"    35.9"
"281964";"A047048";"ZW10290";"GM0200";"2022JJ00";"";"";"";"       ."
"281965";"A047048";"ZW10290";"GM0003";"2018JJ00";"     828";"     582";"     246";"    38.2"
"281966";"A047048";"ZW10290";"GM0003";"2019JJ00";"     854";"     606";"     247";"    36.3"
"281967";"A047048";"ZW10290";"GM0003";"2020JJ00";"";"";"";"       ."
"281968";"A047048";"ZW10290";"GM0003";"2021JJ00";"";"";"";"       ."
"281969";"A047048";"ZW10290";"GM0003";"2022JJ00";"";"";"";"       ."
"281970";"A047048";"ZW10290";"GM0202";"2018JJ00";"     905";"     711";"     194";"    35.2"
"281971";"A047048";"ZW10290";"GM0202";"2019JJ00";"     946";"     744";"     202";"    34.8"
"281972";"A047048";"ZW10290";"GM0202";"2020JJ00";"     958";"     777";"     181";"    33.2"
"281973";"A047048";"ZW10290";"GM0202";"2021JJ00";"    1016";"     817";"     198";"    33.2"
"281974";"A047048";"ZW10290";"GM0202";"2022JJ00";"";"";"";"       ."
"281975";"A047048";"ZW10290";"GM0106";"2018JJ00";"     902";"     695";"     207";"    36.0"
"281976";"A047048";"ZW10290";"GM0106";"2019JJ00";"     922";"     713";"     210";"    35.4"
"281977";"A047048";"ZW10290";"GM0106";"2020JJ00";"     913";"     725";"     188";"    34.2"
"281978";"A047048";"ZW10290";"GM0106";"2021JJ00";"     941";"     740";"     201";"    34.0"
"281979";"A047048";"ZW10290";"GM0106";"2022JJ00";"     934";"     757";"     177";"    31.2"
"281980";"A047048";"ZW10290";"GM0743";"2018JJ00";"";"";"";"       ."
"281981";"A047048";"ZW10290";"GM0743";"2019JJ00";"";"";"";"       ."
"281982";"A047048";"ZW10290";"GM0743";"2020JJ00";"";"";"";"       ."
"281983";"A047048";"ZW10290";"GM0743";"2021JJ00";"";"";"";"       ."
"281984";"A047048";"ZW10290";"GM0743";"2022JJ00";"";"";"";"       ."
"281985";"A047048";"ZW10290";"GM0744";"2018JJ00";"     923";"     703";"     219";"    40.0"
"281986";"A047048";"ZW10290";"GM0744";"2019JJ00";"     940";"     710";"     230";"    39.6"
"281987";"A047048";"ZW10290";"GM0744";"2020JJ00";"";"";"";"       ."
"281988";"A047048";"ZW10290";"GM0744";"2021JJ00";"     973";"     740";"     233";"    39.9"
"281989";"A047048";"ZW10290";"GM0744";"2022JJ00";"    1009";"     800";"     209";"    36.7"
"281990";"A047048";"ZW10290";"GM0308";"2018JJ00";"";"";"";"       ."
"281991";"A047048";"ZW10290";"GM0308";"2019JJ00";"";"";"";"       ."
"281992";"A047048";"ZW10290";"GM0308";"2020JJ00";"";"";"";"       ."
"281993";"A047048";"ZW10290";"GM0308";"2021JJ00";"    1195";"     941";"     254";"    37.9"
"281994";"A047048";"ZW10290";"GM0308";"2022JJ00";"";"";"";"       ."
"281995";"A047048";"ZW10290";"GM0489";"2018JJ00";"    1047";"     839";"     208";"    32.5"
"281996";"A047048";"ZW10290";"GM0489";"2019JJ00";"    1077";"     857";"     220";"    32.3"
"281997";"A047048";"ZW10290";"GM0489";"2020JJ00";"    1082";"     878";"     204";"    31.7"
"281998";"A047048";"ZW10290";"GM0489";"2021JJ00";"    1125";"     904";"     221";"    32.2"
"281999";"A047048";"ZW10290";"GM0489";"2022JJ00";"    1142";"     946";"     196";"    30.2"
"282000";"A047048";"ZW10290";"GM0203";"2018JJ00";"";"";"";"       ."
"282001";"A047048";"ZW10290";"GM0203";"2019JJ00";"";"";"";"       ."
"282002";"A047048";"ZW10290";"GM0203";"2020JJ00";"";"";"";"       ."
"282003";"A047048";"ZW10290";"GM0203";"2021JJ00";"";"";"";"       ."
"282004";"A047048";"ZW10290";"GM0203";"2022JJ00";"";"";"";"       ."
"282005";"A047048";"ZW10290";"GM0005";"2018JJ00";"";"";"";"       ."
"282006";"A047048";"ZW10290";"GM0005";"2019JJ00";"";"";"";"       ."
"282007";"A047048";"ZW10290";"GM0005";"2020JJ00";"";"";"";"       ."
"282008";"A047048";"ZW10290";"GM0005";"2021JJ00";"";"";"";"       ."
"282009";"A047048";"ZW10290";"GM0005";"2022JJ00";"";"";"";"       ."
"282010";"A047048";"ZW10290";"GM0888";"2018JJ00";"     876";"     655";"     221";"    40.3"
"282011";"A047048";"ZW10290";"GM0888";"2019JJ00";"     933";"     697";"     237";"    38.1"
"282012";"A047048";"ZW10290";"GM0888";"2020JJ00";"";"";"";"       ."
"282013";"A047048";"ZW10290";"GM0888";"2021JJ00";"     966";"     727";"     240";"    36.1"
"282014";"A047048";"ZW10290";"GM0888";"2022JJ00";"";"";"";"       ."
"282015";"A047048";"ZW10290";"GM1954";"2018JJ00";"";"";"";"       ."
"282016";"A047048";"ZW10290";"GM1954";"2019JJ00";"     921";"     668";"     253";"    42.6"
"282017";"A047048";"ZW10290";"GM1954";"2020JJ00";"";"";"";"       ."
"282018";"A047048";"ZW10290";"GM1954";"2021JJ00";"     984";"     715";"     269";"    42.7"
"282019";"A047048";"ZW10290";"GM1954";"2022JJ00";"";"";"";"       ."
"282020";"A047048";"ZW10290";"GM0370";"2018JJ00";"";"";"";"       ."
"282021";"A047048";"ZW10290";"GM0370";"2019JJ00";"";"";"";"       ."
"282022";"A047048";"ZW10290";"GM0370";"2020JJ00";"";"";"";"       ."
"282023";"A047048";"ZW10290";"GM0370";"2021JJ00";"";"";"";"       ."
"282024";"A047048";"ZW10290";"GM0370";"2022JJ00";"";"";"";"       ."
"282025";"A047048";"ZW10290";"GM0889";"2018JJ00";"     881";"     669";"     212";"    39.7"
"282026";"A047048";"ZW10290";"GM0889";"2019JJ00";"     935";"     710";"     225";"    37.7"
"282027";"A047048";"ZW10290";"GM0889";"2020JJ00";"     854";"     656";"     198";"    37.5"
"282028";"A047048";"ZW10290";"GM0889";"2021JJ00";"     918";"     701";"     217";"    38.7"
"282029";"A047048";"ZW10290";"GM0889";"2022JJ00";"";"";"";"       ."
"282030";"A047048";"ZW10290";"GM1945";"2018JJ00";"     917";"     693";"     224";"    38.0"
"282031";"A047048";"ZW10290";"GM1945";"2019JJ00";"     922";"     687";"     234";"    36.9"
"282032";"A047048";"ZW10290";"GM1945";"2020JJ00";"";"";"";"       ."
"282033";"A047048";"ZW10290";"GM1945";"2021JJ00";"     983";"     748";"     235";"    36.3"
"282034";"A047048";"ZW10290";"GM1945";"2022JJ00";"";"";"";"       ."
"282035";"A047048";"ZW10290";"GM0491";"2018JJ00";"";"";"";"       ."
"282036";"A047048";"ZW10290";"GM0491";"2019JJ00";"";"";"";"       ."
"282037";"A047048";"ZW10290";"GM0491";"2020JJ00";"";"";"";"       ."
"282038";"A047048";"ZW10290";"GM0491";"2021JJ00";"";"";"";"       ."
"282039";"A047048";"ZW10290";"GM0491";"2022JJ00";"";"";"";"       ."
"282040";"A047048";"ZW10290";"GM1724";"2018JJ00";"";"";"";"       ."
"282041";"A047048";"ZW10290";"GM1724";"2019JJ00";"";"";"";"       ."
"282042";"A047048";"ZW10290";"GM1724";"2020JJ00";"";"";"";"       ."
"282043";"A047048";"ZW10290";"GM1724";"2021JJ00";"";"";"";"       ."
"282044";"A047048";"ZW10290";"GM1724";"2022JJ00";"";"";"";"       ."
"282045";"A047048";"ZW10290";"GM0893";"2018JJ00";"";"";"";"       ."
"282046";"A047048";"ZW10290";"GM0893";"2019JJ00";"";"";"";"       ."
"282047";"A047048";"ZW10290";"GM0893";"2020JJ00";"";"";"";"       ."
"282048";"A047048";"ZW10290";"GM0893";"2021JJ00";"";"";"";"       ."
"282049";"A047048";"ZW10290";"GM0893";"2022JJ00";"";"";"";"       ."
"282050";"A047048";"ZW10290";"GM0373";"2018JJ00";"    1181";"     906";"     274";"    43.9"
"282051";"A047048";"ZW10290";"GM0373";"2019JJ00";"";"";"";"       ."
"282052";"A047048";"ZW10290";"GM0373";"2020JJ00";"";"";"";"       ."
"282053";"A047048";"ZW10290";"GM0373";"2021JJ00";"";"";"";"       ."
"282054";"A047048";"ZW10290";"GM0373";"2022JJ00";"";"";"";"       ."
"282055";"A047048";"ZW10290";"GM0748";"2018JJ00";"     969";"     745";"     224";"    39.0"
"282056";"A047048";"ZW10290";"GM0748";"2019JJ00";"     988";"     753";"     234";"    38.4"
"282057";"A047048";"ZW10290";"GM0748";"2020JJ00";"     997";"     782";"     216";"    37.9"
"282058";"A047048";"ZW10290";"GM0748";"2021JJ00";"    1033";"     800";"     232";"    37.8"
"282059";"A047048";"ZW10290";"GM0748";"2022JJ00";"    1031";"     820";"     211";"    34.5"
"282060";"A047048";"ZW10290";"GM1859";"2018JJ00";"";"";"";"       ."
"282061";"A047048";"ZW10290";"GM1859";"2019JJ00";"";"";"";"       ."
"282062";"A047048";"ZW10290";"GM1859";"2020JJ00";"";"";"";"       ."
"282063";"A047048";"ZW10290";"GM1859";"2021JJ00";"";"";"";"       ."
"282064";"A047048";"ZW10290";"GM1859";"2022JJ00";"";"";"";"       ."
"282065";"A047048";"ZW10290";"GM1721";"2018JJ00";"";"";"";"       ."
"282066";"A047048";"ZW10290";"GM1721";"2019JJ00";"";"";"";"       ."
"282067";"A047048";"ZW10290";"GM1721";"2020JJ00";"";"";"";"       ."
"282068";"A047048";"ZW10290";"GM1721";"2021JJ00";"";"";"";"       ."
"282069";"A047048";"ZW10290";"GM1721";"2022JJ00";"";"";"";"       ."
"282070";"A047048";"ZW10290";"GM0753";"2018JJ00";"    1147";"     917";"     231";"    42.2"
"282071";"A047048";"ZW10290";"GM0753";"2019JJ00";"    1172";"     935";"     238";"    42.6"
"282072";"A047048";"ZW10290";"GM0753";"2020JJ00";"    1163";"     946";"     216";"    39.9"
"282073";"A047048";"ZW10290";"GM0753";"2021JJ00";"    1203";"     980";"     223";"    40.3"
"282074";"A047048";"ZW10290";"GM0753";"2022JJ00";"";"";"";"       ."
"282075";"A047048";"ZW10290";"GM0209";"2018JJ00";"     925";"     729";"     197";"    36.3"
"282076";"A047048";"ZW10290";"GM0209";"2019JJ00";"     968";"     762";"     206";"    37.1"
"282077";"A047048";"ZW10290";"GM0209";"2020JJ00";"     953";"     763";"     190";"    35.5"
"282078";"A047048";"ZW10290";"GM0209";"2021JJ00";"    1031";"     823";"     209";"    35.6"
"282079";"A047048";"ZW10290";"GM0209";"2022JJ00";"";"";"";"       ."
"282080";"A047048";"ZW10290";"GM0375";"2018JJ00";"";"";"";"       ."
"282081";"A047048";"ZW10290";"GM0375";"2019JJ00";"";"";"";"       ."
"282082";"A047048";"ZW10290";"GM0375";"2020JJ00";"";"";"";"       ."
"282083";"A047048";"ZW10290";"GM0375";"2021JJ00";"";"";"";"       ."
"282084";"A047048";"ZW10290";"GM0375";"2022JJ00";"";"";"";"       ."
"282085";"A047048";"ZW10290";"GM0585";"2018JJ00";"";"";"";"       ."
"282086";"A047048";"ZW10290";"GM0585";"2019JJ00";"";"";"";"       ."
"282087";"A047048";"ZW10290";"GM0585";"2020JJ00";"";"";"";"       ."
"282088";"A047048";"ZW10290";"GM0585";"2021JJ00";"";"";"";"       ."
"282089";"A047048";"ZW10290";"GM0585";"2022JJ00";"";"";"";"       ."
"282090";"A047048";"ZW10290";"GM1728";"2018JJ00";"";"";"";"       ."
"282091";"A047048";"ZW10290";"GM1728";"2019JJ00";"";"";"";"       ."
"282092";"A047048";"ZW10290";"GM1728";"2020JJ00";"";"";"";"       ."
"282093";"A047048";"ZW10290";"GM1728";"2021JJ00";"";"";"";"       ."
"282094";"A047048";"ZW10290";"GM1728";"2022JJ00";"";"";"";"       ."
"282095";"A047048";"ZW10290";"GM0376";"2018JJ00";"    1442";"    1199";"     243";"    43.1"
"282096";"A047048";"ZW10290";"GM0376";"2019JJ00";"";"";"";"       ."
"282097";"A047048";"ZW10290";"GM0376";"2020JJ00";"";"";"";"       ."
"282098";"A047048";"ZW10290";"GM0376";"2021JJ00";"    1490";"    1270";"     220";"    41.4"
"282099";"A047048";"ZW10290";"GM0376";"2022JJ00";"";"";"";"       ."
"282100";"A047048";"ZW10290";"GM0495";"2018JJ00";"";"";"";"       ."
"282101";"A047048";"ZW10290";"GM0495";"2019JJ00";"";"";"";"       ."
"282102";"A047048";"ZW10290";"GM0495";"2020JJ00";"";"";"";"       ."
"282103";"A047048";"ZW10290";"GM0495";"2021JJ00";"";"";"";"       ."
"282104";"A047048";"ZW10290";"GM0495";"2022JJ00";"";"";"";"       ."
"282105";"A047048";"ZW10290";"GM0377";"2018JJ00";"";"";"";"       ."
"282106";"A047048";"ZW10290";"GM0377";"2019JJ00";"";"";"";"       ."
"282107";"A047048";"ZW10290";"GM0377";"2020JJ00";"";"";"";"       ."
"282108";"A047048";"ZW10290";"GM0377";"2021JJ00";"";"";"";"       ."
"282109";"A047048";"ZW10290";"GM0377";"2022JJ00";"";"";"";"       ."
"282110";"A047048";"ZW10290";"GM1901";"2018JJ00";"";"";"";"       ."
"282111";"A047048";"ZW10290";"GM1901";"2019JJ00";"";"";"";"       ."
"282112";"A047048";"ZW10290";"GM1901";"2020JJ00";"";"";"";"       ."
"282113";"A047048";"ZW10290";"GM1901";"2021JJ00";"";"";"";"       ."
"282114";"A047048";"ZW10290";"GM1901";"2022JJ00";"";"";"";"       ."
"282115";"A047048";"ZW10290";"GM0755";"2018JJ00";"";"";"";"       ."
"282116";"A047048";"ZW10290";"GM0755";"2019JJ00";"";"";"";"       ."
"282117";"A047048";"ZW10290";"GM0755";"2020JJ00";"";"";"";"       ."
"282118";"A047048";"ZW10290";"GM0755";"2021JJ00";"";"";"";"       ."
"282119";"A047048";"ZW10290";"GM0755";"2022JJ00";"";"";"";"       ."
"282120";"A047048";"ZW10290";"GM1681";"2018JJ00";"     935";"     676";"     259";"    36.0"
"282121";"A047048";"ZW10290";"GM1681";"2019JJ00";"     951";"     687";"     264";"    36.3"
"282122";"A047048";"ZW10290";"GM1681";"2020JJ00";"";"";"";"       ."
"282123";"A047048";"ZW10290";"GM1681";"2021JJ00";"";"";"";"       ."
"282124";"A047048";"ZW10290";"GM1681";"2022JJ00";"";"";"";"       ."
"282125";"A047048";"ZW10290";"GM0147";"2018JJ00";"    1002";"     786";"     217";"    36.7"
"282126";"A047048";"ZW10290";"GM0147";"2019JJ00";"    1004";"     784";"     221";"    34.1"
"282127";"A047048";"ZW10290";"GM0147";"2020JJ00";"    1008";"     813";"     195";"    33.3"
"282128";"A047048";"ZW10290";"GM0147";"2021JJ00";"    1056";"     839";"     217";"    33.9"
"282129";"A047048";"ZW10290";"GM0147";"2022JJ00";"    1019";"     818";"     200";"    32.3"
"282130";"A047048";"ZW10290";"GM0654";"2018JJ00";"     894";"     656";"     238";"    38.3"
"282131";"A047048";"ZW10290";"GM0654";"2019JJ00";"     950";"     697";"     253";"    36.7"
"282132";"A047048";"ZW10290";"GM0654";"2020JJ00";"";"";"";"       ."
"282133";"A047048";"ZW10290";"GM0654";"2021JJ00";"     985";"     731";"     254";"    35.3"
"282134";"A047048";"ZW10290";"GM0654";"2022JJ00";"";"";"";"       ."
"282135";"A047048";"ZW10290";"GM0756";"2018JJ00";"";"";"";"       ."
"282136";"A047048";"ZW10290";"GM0756";"2019JJ00";"    1016";"     781";"     235";"    38.6"
"282137";"A047048";"ZW10290";"GM0756";"2020JJ00";"";"";"";"       ."
"282138";"A047048";"ZW10290";"GM0756";"2021JJ00";"";"";"";"       ."
"282139";"A047048";"ZW10290";"GM0756";"2022JJ00";"";"";"";"       ."
"282140";"A047048";"ZW10290";"GM0757";"2018JJ00";"     984";"     770";"     214";"    39.4"
"282141";"A047048";"ZW10290";"GM0757";"2019JJ00";"    1037";"     810";"     227";"    39.9"
"282142";"A047048";"ZW10290";"GM0757";"2020JJ00";"    1045";"     831";"     214";"    38.9"
"282143";"A047048";"ZW10290";"GM0757";"2021JJ00";"    1095";"     864";"     231";"    38.1"
